	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
FOXB1.H14CORE.0.SM.B	7.199241572105211	12.621561829170108	3.2996092439548264	1.9487757479511298	2.42624185600049	11.388208433461932	1.1864077407142994
HNF1A.H14CORE.0.PS.A	17.505791585802218	33.503662256494174	0.6743339872448725	1.879303893932572	0.9791393931789562	26.62411648312592	1.5595665313138543
ZN205.H14CORE.0.P.C	1.867170576466839	0.19467599363606297	1.2433247195930637	1.6099857697753206	0.2052285004945285	3.8282179703656576	1.429956266452533
ZN432.H14CORE.0.P.C	4.646952302703665	7.272223688886539	0.6184500673198178	3.637017046924101	2.5853949484325764	7.439145798186293	1.0218738224345478
RFX4.H14CORE.0.SM.B	5.0590514816297505	8.694260439196048	5.410656971180678	2.742306794745138	5.990408232505428	1.4271910025713253	1.8045848309045591
STAT6.H14CORE.0.P.B	4.980391957721852	5.668521831679934	3.7560841542012895	3.7159262785746647	5.516351038282016	7.577737273570992	0.961861379277193
ZN329.H14CORE.0.P.C	2.487541293571172	4.497319477590467	1.371938750740156	2.997682453469013	0.7983187639035763	2.2979874494766808	0.3389873824267124
ZN648.H14CORE.0.PSGI.A	4.389509729270384	6.134015282730897	0.30037757540724663	1.3634779307200453	0.8473839965238258	8.58328912826202	1.2807887566285452
ZN749.H14CORE.0.P.C	2.6646354314862375	1.9474587064131275	1.6800141065560807	1.6545485680245926	2.6619929172112125	4.612110143798015	2.2116400817537922
ZN692.H14CORE.0.P.C	3.500470458921318	6.628673794927976	0.7297144680247296	3.429587946522905	2.5330161214404123	2.353443844015803	2.30889996252054
MYBB.H14CORE.1.S.B	8.296506942574537	5.760935790320876	5.247668451295518	4.639557320692716	0.730905327933085	17.824310219762268	3.535535290940617
ZN532.H14CORE.0.SG.A	5.168735176105842	4.865397669252883	0.31745501410835936	0.8640706051809022	0.9538812009706403	11.177221299285748	3.152028621192954
ZN878.H14CORE.0.PS.A	5.387157410567874	4.414108186646374	2.733907751809733	4.757541595057992	5.4906026571777335	9.4840883502529	2.107447677992835
ZN497.H14CORE.0.SG.A	5.823470430233336	2.738716801313257	2.6386602831719914	4.210329638097546	0.7979018614240692	12.48805712810884	3.833882552480033
HINFP.H14CORE.1.P.B	5.08158786910713	2.229001177034128	0.45242421798407906	0.9290501912223277	0.5560975618911471	11.760200054236527	3.207396707095354
ELYS.H14CORE.0.B.B	3.582824513257989	4.867421276432401	3.9102220823479086	2.709310720997009	4.765901099463036	2.779489957129216	0.5083503188860584
SOX10.H14CORE.1.PSM.A	4.293000062814761	7.782247182136714	1.7621068051223925	1.9178552472403936	2.200193439596518	6.174754982171217	0.5138935965474126
ZN433.H14CORE.0.P.C	5.136682347394173	7.827403953617982	2.3804685721234913	2.6174270928722847	0.6430499360896806	9.041390731621108	1.5384946485290556
TBP.H14CORE.0.P.B	13.234159296669574	1.0342688844014003	5.039943866141268	2.940746136641723	1.394525772125289	30.75406169639969	8.245125022909303
DMRTA.H14CORE.0.SM.B	5.861044180824959	8.12761987196021	5.158295217220395	0.7021341752141333	5.582103219392134	8.9141804655438	1.526216525325625
SOX2.H14CORE.3.S.B	2.7875839090468406	4.261795315496486	4.264497842386639	0.3919404825095214	2.74141256886556	0.8385656255017558	1.3794022684177658
PRDM4.H14CORE.0.PSM.A	5.42500294880473	10.073860503230396	6.040610956256828	0.9453789968559227	3.4722519243258256	5.050940492185338	0.3873255408135491
ZN649.H14CORE.0.P.C	2.5960744464889225	5.404399711391735	1.130991957922268	2.4609029162029854	1.40111779176907	1.2739748043807912	0.5556528676389788
GATA1.H14CORE.1.PSM.A	11.268247949139015	15.460015583947358	0.35532904877775234	7.820015775390611	4.342161946745883	20.7617396446076	3.4125181759598386
NF2L2.H14CORE.1.P.B	4.730457817365446	1.3727487998946486	3.7745804474773825	0.9077443272739388	2.5833586264622417	9.854579640789508	3.677092424168096
NR2E1.H14CORE.1.S.B	3.727342987852346	3.9863589310400194	4.98564461343709	0.3797265901471661	3.302921976763079	5.538160505466125	0.941327309612019
DPF1.H14CORE.0.SM.B	8.23821537981194	8.659215044546169	3.2898097920364138	1.7912719159683483	0.7983118399830641	17.358235718962685	4.031128633978395
ZN154.H14CORE.0.P.C	5.897417946867613	4.229202813490171	2.8442803878388245	3.283098562599396	4.611338462901098	11.167353512743091	5.093935630550387
