	mean
ZZZ3	-0.11984892125517607
SLC18A1	-1.7686573949088464
USP2	-0.7214520848831603
CASR	-3.815307581149023
TUBG2	2.0400830269397625
RPL26L1	-2.0343966590364406
NSUN2	1.8779263211515542
FBXO42	1.303130504613996
MFAP3	1.913052668677173
MRI1	0.1787393543434925
METTL1	-1.6275521496923282
AGA	-0.9111973189375165
PI4K2B	0.0861555014735071
BOD1L1	-0.10206563838320361
MAT2B	0.30017289186219226
EDC4	2.478546710900586
TRIO	1.0761017921170184
VCAN	-3.3537803637375654
CLEC16A	-0.20163703134502323
CDH1	2.3138500900944123
DNAH5	0.4915567479404758
ZFYVE16	0.2524811892449635
RAI14	0.9735075361817397
PNKP	-1.0882726618906062
PHLPP2	-0.8768713047945983
SPDL1	0.5062127804540413
STAU2	-0.4146762093648738
CTNS	-0.6204073308182094
RTN4R	-0.19148103445002013
PHF23	-0.02632785843051569
CDH10	-3.495758068902076
INPP4A	-0.06326626726177198
RAB27B	-3.3931135180502126
PSMA4	1.9964631726507043
MYO16	-2.5624359698803456
LSG1	3.1607439150062517
PARP3	-1.323077193939186
TNC	-2.0653855683219846
THAP3	-2.755079251968024
TDP1	0.7677277063988968
AIFM2	1.565614257536828
SPATA7	0.0027708116644067837
MED17	0.3505741362984572
RETSAT	-0.3572503393764294
CAPG	0.20862227845500725
AP2S1	2.2416244325044987
USH2A	-1.1345925509196746
ADAM28	-1.1472103213228302
DCUN1D1	1.0787435865101536
JADE2	-0.5764852046953705
ZIC2	3.0962719017848124
TRIT1	1.4417337844975622
CUL7	0.48888424646101514
CTNNA1	2.0237641086933595
PHKA2	0.7195134511178107
CNTLN	-0.11174851709027898
EPHA3	-1.1775435891224884
HSPA5	3.561690977178745
DSG2	1.885329629042614
GEMIN8	-1.291898274895496
OFD1	0.2058090131887443
GPM6B	-1.0141352554148022
PREX2	-1.8571938404684531
WDR37	-2.328031397863982
YTHDC2	1.446564500771248
CTPS2	-0.1183522541103373
ATP6V1H	0.05834332178335158
POLR2B	2.1157879040170573
ARAP2	-4.259667090438746
TPR	2.8096834773373476
DTNBP1	0.3699458162533419
XK	2.0408771142968845
ANO2	-4.564185962366776
SCML1	-2.5620860753496784
WWC3	0.7781050168471733
FAM184B	-2.608741721480656
MAP4	2.537548680880694
GOPC	2.3464449417175763
USP28	-0.8726892902113311
HDAC9	0.6173046872869017
